#   Table of:   ProjectId, Title, PI
#
#   any projectId with the string "Commissioning" is recognized as such and not used here
#   WARNING, make sure the number of quotes in the project title is even.   UTF-8 seem to be ok in here

# 2024

2024-S1-MX-14 , Imaging M84 and Sombrero at < 50 gravitational radii: jets and accretion inflow , David H. Hughes
2024-S1-MX-19 , TolTEC imaging of the progenitors of the Coma cluster at z~5 towards the FRESCO/GOODS-N field , David H. Hughes
2024-S1-MX-2  , Molecular Clouds in the Fermi Bubble , Laurent Loinard   
2024-S1-MX-11 , Unveiling a hidden gem: an extraordinarily bright strongly lensed galaxy behind Milky Way dust clouds , Eric Faustino Jiménez-Andrade
2024-S1-MX-29 , MACS J0018.5 - A Bullet Cluster Aimed in Our Direction , Alfredo Montaña
2024-S1-MX-13 , A sample of SMBH shadows , David H. Hughes
2024-S1-MX-37 , Large scale mapping of iCOMs in the prototypical shock laboratory L1157 , Arturo I. Gomez-Ruiz
2024-S1-MX-24 , Feeding a YSO from the surrounding Molecular Cloud , Roberto Galvan-Madrid
2024-S1-MX-22 , Identifying Dusty Star-Forming Galaxies in the Early Universe , Alfredo Montaña
2024-S1-MX-31 , Two belts or one? Toward a complete map of tau Ceti's planetary system , Miguel Chavez Dagostino
2024-S1-MX-33 , A millimeter key to the multi-wavelength characterization of Fast Evolving Luminous Transients , Alberto Carramiñana
2024-S1-MX-23 , TolTEC imaging of filamentary structures in SSA22 , David H. Hughes
2024-S1-MX-1  , A New "Frontier" for the LMT: Dust Obscured Activity in Galaxies that Dominate the Cosmic Star Formation History , Alfredo Montaña
2024-S1-MX-34 , Mapping the emission of molecular gas in metal-poor nearby galaxies , Olga Vega
2024-S1-MX-40 , Confirming and Characterizing Galaxy Proto-Clusters in the Early Universe , Alfredo Montaña
2024-S1-MX-3  , LMT redshift identification of a dusty starburst candidate at z > 6 , Alfredo Montaña
2024-S1-MX-5  , Mapping the physical conditions of star forming regions , Nadia Mariel Murillo Mejias
2024-S1-MX-16 , LMT spectroscopy of strong outflows in star-forming galaxies at Cosmic Noon , David H. Hughes 
2024-S1-MX-20 , Molecular Gas Reservoir in a Sample of Nearby Bulgeless Galaxies , Daniel Rosa Gonzalez
2024-S1-MX-35 , The mass-loss history of Phoenix giants: toward restrictive constraints on merger models , Miguel Chavez Dagostino
2024-S1-MX-25 , Pilot program to unveil overdensities around SPIRE Dropouts with TolTEC , Emmaly Aguilar Pérez
2024-S1-MX-26 , Molecular Emission Detection Program for Seyfert Galaxies , Castalia Alenka Negrete Peñaloza
2024-S1-MX-18 , Observations of the 57Fe+23 Hyperfine Transition Towards the Virgo Cluster , Daniel Rosa Gonzalez
2024-S1-MX-38 , Untangling the shocks in the luminous SZE galaxy cluster RXJ1347.5-1145 , David Omar Sánchez-Argüelles 
2024-S1-MX-6  , TolTEC Mapping of the Lockman-SpReSO Field , Irene Cruz-Gonzalez
2024-S1-MX-28 , Searching for circumstellar dust in our closest cold neighbor in the northern hemisphere: The Barnard’s Star , Miguel Chavez Dagostino
2024-S1-MX-36 , Dust in the Whirlpool , Jacopo Fritz
2024-S1-MX-30 , Search for a new Class II methanol maser to Constrain Maser Models , Stan Kurtz
2024-S1-MX-9  , Molecular Gas in Compton Thick AGN , Irene Cruz-Gonzalez
2024-S1-MX-10 , Dust properties of an SMG to AGN transitional galaxy , Itziar Aretxaga
2024-S1-MX-15 , A search for recently formed dust and molecules in the circumstellar nebula of WR140 , Divakara Mayya
2024-S1-MX-17 , Luminous-lensed galaxies in Herschel-ATLAS survey: completing high-redshift measurements , Ivan Rodriguez Montoya
2024-S1-MX-39 , Imaging the Circumstellar Envelope and the Magnetic Field Around the IRAS 17028-1004 Nebula , Enrique Omar Serrano Bernal 
2024-S1-MX-4  , Density wave triggering of star formation across spiral arms. , Eric E. Martinez-Garcia
2024-S1-MX-32 , The Strange Case of Masers in Empty Space , Stan Kurtz
2024-S1-SP-2  , The nature of millimeter continuum emission in LBV stars , Ricardo Rizzo
2024-S1-SP-6  , Dust in the bulgeless face-on galaxy NGC3938 , Javier Zaragoza Cardiel  
2024-S1-SP-5  , Molecular Gas in the Antennae Tidal Dwarf Galaxy , Javier Zaragoza Cardiel  
2024-S1-SP-7  , Molecular Gas of FIR Sources in the Lockman-SpReSO Field , Miguel Sánchez Portal 
2024-S1-SP-1  , Thermodynamics of the ICM in the CATARSIS clusters , Patricia Sánchez-Blázquez
2024-S1-UM-4  , TolTEC Observations of the Dwarf Galaxy NGC 4449 , Michael McCrackan
2024-S1-UM-9  , RSR Spectroscopy of Massive ,  Dust-Obscured
2024-S1-UM-1  , Origin and evolution of molecular gas in the ram pressure stripped galactic tail of NGC4388 , Q. Daniel Wang
2024-S1-UM-6  , Invisible Giants: Identifying the Power Source of Lyman-alpha Blobs , Roxana Popescu
2024-S1-UM-7  , Probing the Interstellar Medium of Dusty Star-forming Galaxies in a Protocluster at Cosmic Noon , Q. Daniel Wang
2024-S1-UM-12 , High Resolution SZE Map of a Possibly Disturbed Galaxy Cluster , Carlos Alberto Garcia Diaz
2024-S1-UM-11 , Testing [C II] Emission as a CGM Tracer around z>6 Galaxies , Min Yun
2024-S1-UM-5  , 2024 Event Horizon Telescope Observations on the LMT , Gopal Narayanan
2024-S1-UM-8  , Mapping dust ,  free-free
2024-S1-UM-3  , Investigating Core Formation Environments in MonR2 with SEQUOIA/LMT , Amanda M Lee
2024-S1-UM-10 , A novel observation of pressure fluctuations in the distant cluster RX J1226.9+3332 , Nat DeNigris
2024-S1-UM-2  , TolTEC Mapping of the JWST NEP-TDF , Zhiyuan Ma
2024-S1-US-18 , Filling the Spatial Gap: Dust Polarization in Rho Oph A , Erin Cox
2024-S1-US-3  , CO in Molecular Cloud Boundary Regions with H2 Emission , Paul Goldsmith
2024-S1-US-19 , Probing The Central Region of the Prestellar Core L183 , Yancy Shirley
2024-S1-US-5  , Exploring the evolution of total gas contents with the observations of galaxies within z=0.11-0.17 , Hansung Gim
2024-S1-US-4  , TolTEC Observations of the Extreme Star-forming Region Sgr B2 , Dylan Michelson Pare
2024-S1-US-16 , Gas and Galaxy Transformation in Abell 262 , Marc Verheijen
2024-S1-US-13 , Determining the Mass and Spectral Index of Peter Pan Disk J0501 , William Schap
2024-S1-US-2  , Galaxy groups at mm-wavelengths: the key to AGN feedback , Gerrit Schellenberger
2024-S1-US-17 , LMT Spectroscopy of Hidden Monsters at z > 4 , Mark Dickinson
2024-S1-US-20 , When the Wind Blows: hi-res mapping of outflow feedback from massive protostars , Jonathan C. Tan
2024-S1-US-14 , Investigating The Unusual Spectral Index Seen In IC 348 , William Schap
2024-S1-US-10 , TolTEC Mapping of the Spitzer IRAC Dark Field , Haojing Yan
2024-S1-US-7  , Exploration of a Lensed z=2.66 Protocluster Discovered by Planck+LMT+ALMA , Nicholas Foo


# 2023

2023-S1-MX-1,A Multicolor View of the Black Hole Environment in M87,Arturo I. Gomez-Ruiz
2023-S1-MX-2,Unraveling the nature of the Cen A jet: From cm to mm on light- day scales,Arturo I. Gomez-Ruiz
2023-S1-MX-3,Resolving Polarization in Sgr A* with LMT + GMVA + ALMA,David Omar S�nchez-Arg�elles
2023-S1-MX-4,Untangling the shocks in the luminous SZE galaxy cluster RXJ1347.5-1145,David Omar S�nchez-Arg�elles
2023-S1-MX-5,Mapping magnetic fields in evolved intermediate mass stars,Laurence Sabin
2023-S1-MX-6,SPIRE dropouts with ToLTEC,Emmaly Aguilar P�rez
2023-S1-MX-7,"A sample of black holes at <100 R_g scales: accretion flows, jets, and shadows",David Omar S�nchez-Arg�elles
2023-S1-MX-8,Complex molecules inhabiting outflows towards High Mass Star Forming Regions,Omar Sergio Rojas Garc�a
2023-S1-MX-9,"The connection between molecular gas density, star-formation and quenching",Sebastian Francisco Sanchez Sanchez
2023-S1-MX-10,TolTEC Mapping of the Lockman-SpReSO field,Irene Cruz-Gonzalez
2023-S1-MX-11,Observations of the 57Fe+23 Hyperfine Transition Towards the Virgo Cluster,Daniel Rosa Gonzalez
2023-S1-MX-12,Molecular Gas Reservoir in a Sample of Nearby Bulgeless Galaxies,Daniel Rosa Gonzalez
2023-S1-MX-13,Dust contribution to the baryonic content of matter in disk galaxies,Eric E. Martinez-Garcia
2023-S1-MX-14,Dust in the Whirlpool,Jacopo Fritz
2023-S1-MX-15,Molecular gas in ram-pressure affected galaxies,Jacopo Fritz
2023-S1-MX-16,"EGS at depth, tracing star formation in a CEERS/CANDELS field",Itziar Aretxaga
2023-S1-MX-17,Structure and Kinematics of Embedded Star Cluster Envelopes in Cygnus-X DR 15,Carlos G. Rom�n Z��iga
2023-S1-MX-19,TolTEC observations of the JWST/GTO Cluster PLCK G165.7+67.0,Eric Faustino Jim�nez-Andrade
2023-S1-MX-20,Physical Properties of the Molecular Gas in Early Dusty Starburst Galaxies,Marianela Quir�s Rojas
2023-S1-MX-21,LMT/TolTEC mapping of the extended debris disc around HD 48682,Carlos del Burgo
2023-S1-MX-22,Observational campaign with TolTEC in the deepest X-ray field observed by XMM-Newton,Mauricio Elias Ch�vez
2023-S1-MX-23,Revealing the jet launching in 3C84 at the highest detail,Arturo I. Gomez-Ruiz
2023-S1-MX-24,Protoclusters in the Epoch of Reionisation,Jacopo Fritz
2023-S1-MX-25,LMT as a Protocluster Machine: TolTEC observations around two bright high-z DSFGs,David H. Hughes
2023-S1-MX-26,"A New ""Frontier"" for the LMT: Dust-obscured Activity in Galaxies that Dominate the Cosmic Star Formation History",Alfredo Monta�a
2023-S1-MX-27,Understanding the dynamical state of the cold Kuiper-belt-like rings: the case of HR 8799,Miguel Chavez Dagostino
2023-S1-MX-28,The mass-loss history of Phoenix Giants: toward restrictive constraints on merger models,Miguel Chavez Dagostino
2023-S1-MX-29,Searching for a new class II methanol maser,Stan Kurtz
2023-S1-MX-30,"Multichroic, High Resolution SZ Imaging of the X-ray cavities of MS 0735.6+7421 with TolTEC",Alfredo Monta�a
2023-S1-MX-31,A search for recently formed dust and molecules in the circumstellar nebula of WR140,Divakara Mayya
2023-S1-MX-32,Tracing Ambipolar Diffusion in a Protostellar Clump,Carlos G. Rom�n Z��iga
2023-S1-MX-33,"The magnetic properties of a low-mass, young protocluster",Carlos G. Rom�n Z��iga
2023-S1-MX-34,Molecular Gas in the Antennae Tidal Dwarf Galaxy,Javier Zaragoza Cardiel
2023-S1-MX-35,Dust in nearby galaxy halos,Javier Zaragoza Cardiel
2023-S1-MX-36,Dust and Gas in the Dwarf Galaxy NGC 4656,Javier Zaragoza Cardiel
2023-S1-MX-37,An ultra-deep TolTEC map of the Hubble Deep Field North,David H. Hughes
2023-S1-MX-39,Dust in the bulgeless face-on galaxy NGC3938,Eliana Isabella Vargas Sanchez
2023-S1-MX-40,Confirming the high-z nature of lensed galaxies in the Hershel- ATLAS survey,Ivan Rodriguez Montoya
2023-S1-MX-41,AGN feedback: connecting molecular outflows and X-ray fast winds in Narrow Line Seyfert 1 Galaxies,Anna Lia Longinotti
2023-S1-MX-42,12CO and 13CO SEQUOIA mapping of nearby evolved stars,Sundar Srinivasan
2023-S1-MX-43,A millimeter key to the multi-wavelength characterization of Fast Evolving Luminous Transients,Alberto Carrami�ana
2023-S1-MX-44,Establishing the Importance of Magnetic Fields in a Massive Star Cluster in Formation,Roberto Galvan-Madrid
2023-S1-MX-45,Confirming and characterizing high-redshift galaxy proto-clusters,Alfredo Monta�a
2023-S1-MX-46,Identifying Dusty Star-Forming Galaxies in the Early Universe,Alfredo Monta�a
2023-S1-MX-47,Molecular Emission Detection Program for Seyfert Galaxies,Castalia Alenka Negrete Pe�aloza
2023-S1-MX-48,Mapping the molecular gas content in shell galaxies,hector hernandez toledo
2023-S1-MX-49,Large scale mapping of iCOMs in the prototypical shock laboratory L1157,Arturo I. Gomez-Ruiz
2023-S1-MX-50,SPIRE dropouts: a missing high-z DSFG population?,Emmaly Aguilar P�rez
2023-S1-MX-51,Mapping the emission of molecular gas in metal-poor nearby galaxies,Divakara Mayya
2023-S1-MX-52,TolTEC mapping of U Ant,Alfonso Trejo
2023-S1-MX-53,Searching for circumstellar dust in our closest cold neighbor in the northern hemisphere: The Barnard Star,Miguel Chavez Dagostino
2023-S1-MX-55,Exploring molecular gas content in FRII radio galaxies,Abigail Garc�a P�rez
2023-S1-MX-56,Two belts or one? Toward a complete map of tau Ceti's planetary system,Miguel Chavez Dagostino
2023-S1-MX-57,Deep LMT/TolTEC mm Observations of the Multiplanet Host M- dwarf Gliese 581's debris disc,Carlos del Burgo
2023-S1-MX-59,Search of cold dust around the Pre-Planetary Nebula Frosty Leo,Enrique Omar Serrano Bernal
2023-S1-UM-2,A TolTEC Survey of Three High Redshift Protoclusters in the GOODS-N Field,Roxana Popescu
2023-S1-UM-4,TolTEC Mapping of the JWST NEP-TDF,Zhiyuan Ma
2023-S1-UM-5,2023 Event Horizon Telescope Observations on the LMT (105.8 hours),Gopal Narayanan
2023-S1-UM-6,TolTEC survey of the central molecular zone of the Galaxy,Q. Daniel Wang
2023-S1-UM-7,TolTEC Observations of the Dwarf Galaxy NGC 4449,Michael McCrackan
2023-S1-UM-8,Origin and evolution of molecular gas in the ram pressure stripped galactic tail of NGC4388,Q. Daniel Wang
2023-S1-UM-9,"Mapping dust, free-free, and synchrotron emissions of edge-on galaxies",Luan Luan
2023-S1-UM-10,LMT Study of Planck-selected Luminous Star Forming Galaxies,Min Yun
2023-S1-UM-11,The impact of AGN on the cold and warm dust in distant dusty galaxies,Alexandra Pope
2023-S1-UM-12,Detecting Dust in a Sample of Lensed Quiescent Galaxies at Cosmic Noon,Katherine Whitaker
2023-S1-UM-13,RSR MORA: Spectroscopic Confirmation of Massive Dusty Galaxies in the Early Cosmos,Sinclaire Manning
2023-S1-UM-14,"CO spectroscopy of massive star-forming, proto-cluster galaxies at z>3.5",Mauro Giavalisco
2023-S1-UM-15,Molecular Clouds in the Far Outer Galaxy,Mark Heyer
2023-S1-UM-16,Molecular Clouds in the Fermi Bubble,Mark Heyer
2023-S1-UM-17,Studying pressure fluctuations in distant galaxy cluster RX J1226,Nat DeNigris
2023-S1-UM-19,Probing the Interstellar Medium of Dusty Star-forming Galaxies in a Protocluster at Cosmic Noon,Q. Daniel Wang
2023-S1-UM-20,High Resolution Mapping of Molecular Outflows from Young Stellar Objects,Gopal Narayanan
2023-S1-UM-21,A Deep Search for Circumplanetary Dust Around a Rogue Planet in Taurus,Kimberly Ward-Duong
2023-S1-UM-22,Comet Composition Survey: Observations of C/2022 E3 (ZTF),F. Peter Schloerb
2023-S1-UM-23,"Ultra-Distant, Dusty, or Dead? Breaking the Degeneracy with LMT/TolTEC Observations of a Strong Lens Cluster",Sinclaire Manning
2023-S1-UM-24,Probing the Origin of Carbon Monoxide Emission in a Unique Transforming Spiral Galaxy,Todd M. Tripp
2023-S1-UM-25,Surveying the Mpc-scale environments of the Most Extreme Star Forming Galaxies,Carlos Garcia Diaz
2023-S1-US-1,Galaxy groups at mm-wavelengths: the key to AGN feedback,Gerrit Schellenberger
2023-S1-US-2,TolTEC Mapping of the Spitzer IRAC Dark Field,Haojing Yan
2023-S1-US-3,C18O and the Evolution of Early-Type Galaxies,Lisa Young
2023-S1-US-4,First Cloud-Scale Dust Polarization Detections in M33,Eric Koch
2023-S1-US-6,Spectral Identification of a candidate z>4 SMG in a JWST GTO field,Haojing Yan
2023-S1-US-7,Probing z > 4 Dusty Star Formation with TolTEC Imaging of GOODS-N,Amy J. Barger
2023-S1-US-8,Exploring the evolution of total gas contents with the observations of galaxies within z=0.11-0.17,Hansung Gim
2023-S1-US-9,Correlated mm/X-ray timing of Cygnus X-1 (Mean Score = 4.75),Tom Maccarone
2023-S1-US-10,The Dynamical Structure of Mon R2 in Polarization,Simon Coud�
2023-S1-US-11,LMT Spectroscopy of Invisible Monsters at z > 4,Mark Dickinson
2023-S1-US-12,Determining the Spectral Index of Orion YSOs,William Schap
2023-S1-US-13,Magnetic Field Structure of NGC 1333,Dennis Lee
2023-S1-US-15,Molecular gas in starburst galaxies around enormous Ly nebulae,Li Jiangtao
2023-S1-US-16,CEERS/ToLTEC: The dusty nature of z>3 galaxies,Jed McKinney
2023-S1-US-17,Probing the X-ray corona with 100GHz LMT/GMVA observations,Claudio Ricci
2023-S1-US-18,Total Gas Content at High Redshift with CHILES and LMT,Julia Blue Bird
2023-S1-US-19,Dust to Gas Ratios Across the Galaxy Population,Ryan Keenan
2023-S1-US-20,Mapping Magnetic Field in the B5 Prestellar Quadruple System,Simon Coud�
2023-S1-US-21,Characterizing Overdensity in a DSFG System,Bo Peng
2023-S1-US-22,Mapping the Protostellar Magnetic Field of L483,Erin Cox
2023-S1-US-23,Exploring dust contamination for CMB polarization measurements,Kevin Huffenberger
2023-S1-US-24,"Imaging and localization of the brightest, dusty, high-redshift submillimeter sources",Kevin Huffenberger
2023-S1-US-25,Exploration of a Lensed z=2.66 Protocluster Discovered by Planck+LMT+ALMA,Nicholas Foo
2023-S1-US-26,Magnetic Fields in Massive Infrared Dark Clouds,Jonathan Tan
2023-S1-US-27,Ice-Giant Chemistry - A Deep Dive into Neptune's Atmosphere,Martin Cordiner
2023-S1-US-28,Probing The Central Region of the Prestellar Core L183,Yancy Shirley
2023-S1-US-29,Building the Molecular gas and Optical spectroscopic toolset of local star-forming galaxies,Karla Ziboney Arellano C�rdova
2023-S1-US-30,Probing the Extended CO Emission in the Barred Spiral Galaxy M83,Jin Koda
2023-S1-US-31,When the Wind Blows: hi-res mapping of outflow feedback from massive protostars,Jonathan Tan
2023-S1-US-32,LMT+TolTEC observations of the highest redshift cluster merger shock,Emily Moravec
2023-S1-US-33,Determining the Mass and Spectral Index of Peter Pan Disk J0501,William Schap

# 2021

2021-S1-MX-3      , edge-survey,       S.Sanchez	       
2021-S1-MX-5      , NGC6946, 	       Q.Salome	       
2021-S1-MX-14     , L1157-B1,          A.Gomez.Ruiz	       
2021-S1-MX-26     , IRAS*/PG*,         A.Longinotti           
2021-S1-MX-34     , NGP*,G12*, 	       A.Montana	       
2021-S1-UM-1      , BKP7323_CO,        M.Heyer	       
2021-S1-UM-3      , UGCA281, 	       D.Calzetti	       
2021-S1-UM-11     , J*.*, 	       M.Yun		       
2021-S1-US-3      , M100, 	       I.Yoon	       
2021-S1-US-17     , J1557+1540,        L.Jiangtao 	       
2021-S1-US-19     , Cyg_X-1,	       T.Maccarone

# 2018

2018-S1-MU-1      , IRAS_*,            A.Gomez
2018-S1-MU-8      , M51/NGC628,        D.Calzetti
#2018S1-MU-8        <- typo for MU-8, resolved via hacking lmtinfo.py
2018-S1-MU-25     , Titan,             M.Chavez
2018-S1-MU-26     , Az_G12_26,         A.Montana
2018-S1-MU-31     , OH2.6-0.4,         C.Zuniga
2018-S1-MU-45     , L1157-B1,          A.Gomez
2018-S1-MU-46     , Region_J-K,        L.Loinard          
2018-S1-MU-57     , HerBS-195,         D.Hughes
2018-S1-MU-64     , Sextans_A, 	       D.Mayya	       
2018-S1-MU-65     , IRAS04166+2706_*,  G.Narayanan
2018-S1-MU-66     , IRAS*,	       C.Rodriguez          
2018-S1-MU-67     , M83,               B.Wall
2018-S1-MU-78     , J*,                M.Yun
2018-S1-MU-79     , UM_488/GP_J1448/,  A.Jaskot
#2018-S1-MU-90      <- no science data

#   any projectId with the string "Commissioning" is recognized as such and not used here
